SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
164492553,2017-05-02,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,F,WHITE,0,MANHATTAN,22,994010.0,224718.0,40.78347806,-73.96475834,POINT (-73.96475834099994 40.783478055000046),2017
145373361,2015-08-15,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BRONX,40,1007341.0,233713.0,40.80814211,-73.91658954,POINT (-73.91658953599993 40.80814211000006),2015
155781482,2016-08-14,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,18-24,M,BLACK,0,BROOKLYN,73,1010778.0,179759.0,40.66004211,-73.90438675,POINT (-73.90438675399997 40.660042111000045),2016
143693006,2015-06-13,RECKLESS DRIVING,1212,VTL,VTL,45-64,M,,0,BRONX,48,1014082.0,249983.0,40.85277838,-73.89216661,POINT (-73.89216660899997 40.852778380000075),2015
146296655,2015-09-19,LITTERING,16-118,Administrative Code,LITTERING,25-44,M,,0,BROOKLYN,94,997293.0,205000.0,40.72935294,-73.95294176,POINT (-73.95294176199997 40.72935293500007),2015
145571537,2015-08-23,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,60,987685.0,148617.0,40.57460284,-73.98763653,POINT (-73.98763652999997 40.57460284100006),2015
153644026,2016-05-31,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,STATEN ISLAND,120,962669.0,173939.0,40.64408091,-74.07776708,POINT (-74.077767082 40.64408091400003),2016
203284628,2019-10-03,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BRONX,48,1012975.0,247755.0,40.84666685,-73.89617767,POINT (-73.89617766499998 40.846666852000055),2019
307111451,2025-05-27,OWNER UNLICENSED,19-504(A),(null),(null),(null),(null),WHITE HISPANIC,0,STATEN ISLAND,120,962873.0,174172.0,40.64472094,-74.07703272,POINT (-74.0770327198983 40.6447209438691),2025
287105516,2024-05-19,UNLAWFUL PREVENTION OF PUBLIC ACCESS TO RECORDS,240.65,Penal Law,OTHER,25-44,M,BLACK,0,BRONX,47,1023368.0,264048.0,40.89133789,-73.85851668,POINT (-73.85851668266244 40.8913378948325),2024
183664274,2018-06-06,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),,,18-24,F,WHITE,0,BROOKLYN,68,976973.0,165704.0,40.62150089,-74.02621473,POINT (-74.02621473 40.62150089),2018
144352177,2015-07-07,OTHER NYS TRANSPORTATION,9999,NYS Transportation,NYS TRANS,,D,,0,BRONX,45,1032047.0,242037.0,40.83088999,-73.82728462,POINT (-73.82728461999993 40.83088999300003),2015
283641368,2024-03-13,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),(null),(null),18-24,F,BLACK,0,BRONX,46,1008202.0,248736.0,40.849367,-73.913421,POINT (-73.913421 40.849367),2024
163324010,2017-03-28,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,18-24,M,WHITE,0,MANHATTAN,18,988048.0,216131.0,40.75991355,-73.98629182,POINT (-73.98629182099995 40.75991354900003),2017
218607253,2020-10-01,NO TAX STAMP,,Administrative Code,TLC,UNKNOWN,,,0,BRONX,40,1008496.0,232463.0,40.80470811,-73.91242183,POINT (-73.91242183 40.80470811),2020
151394266,2016-03-19,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,UNKNOWN,0,QUEENS,115,1014084.0,217077.0,40.76246056,-73.89230561,POINT (-73.89230561199997 40.76246055800004),2016
210846812,2020-03-11,FEDERAL MOTOR VEH. SAFETY REG,,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,60,989267.0,150295.0,40.57920787,-73.98194059,POINT (-73.98194059 40.57920787),2020
290527955,2024-07-23,DISPLAY OF PEDICAB DRIVER?S IDENTIFICATION,20-258,(null),(null),25-44,M,WHITE,0,MANHATTAN,14,986445.0,214013.0,40.75409246,-73.99207741,POINT (-73.99207740961194 40.754092456299034),2024
